#rad	-err	+err	Fe	-err	+err
0.029977375565611	0.029977375565611	0.029977375565611	1.320402	0.0255883	0.0257205
0.089932126696833	0.029977375565611	0.029977375565611	0.750529	0.0234613	0.0236134
0.149886877828054	0.029977375565611	0.029977375565611	0.5105832	0.0544177	0.0545384
0.220022624434389	0.040158371040724	0.040158371040724	0.343098	0.0414164	0.041511
0.458144796380091	0.197963800904977	0.197963800904977	0.339425	0.0636156	0.0636156
0.72737556561086	0.071266968325792	0.071266968325792	0.30	0.046453	0.046453
1.13125	0.270317589562473	0.270578723643332	0.21	0.02	0.02
#0.8180836	0.4177332	0.4177332	0.280909	0.0350561	0.0350847
