TNG100_z10,,JADES_z10,,Stefanon+21_z10,
X,Y,X,Y,X,Y
107437995.24745256,0.00002257169217801591,102225673.11503133,0.0000036945857702636365,112216333.17044804,0.00002638245497068636
114547596.60751918,0.000022528874472053893,109460421.17663723,0.0000036945857702636365,120158143.4236504,0.00002638245497068636
116983217.4253603,0.00001862143911622517,117207189.14400652,0.0000036945857702636365,128662014.01437965,0.00002638245497068636
123884549.98583944,0.000014892339035848877,125502213.85381389,0.0000036945857702636365,137767723.2567679,0.00002638245497068636
124144316.70660552,0.000019517432184212527,134384296.70774105,0.0000036945857702636365,147517864.66852644,0.00002638245497068636
131730657.08700292,0.000013750051898499159,143894985.17268834,0.0000036945857702636365,157958046.2094385,0.00002638245497068636
136224180.28070945,0.000010559077444215515,153600604.5198466,0.0000036945857702636365,169866578.72991395,0.000026010399337892493
141412040.12444034,0.000013280377628734565,,,177761131.63363725,0.00004492010346559281
145057249.88073963,0.000010047792884601905,,,178314506.5781789,0.000034612773516242696
147235972.15048102,0.000007810258661858965,,,181201172.5009421,0.00002657417378292774
155039562.5699337,0.000010134534245644783,,,177761131.63363725,0.00002193455322640872
157656203.50386876,0.00000787578336349604,,,177761131.63363725,0.000017272616923862097
156979164.6350474,0.000006076914743989596,,,177761131.63363725,0.000012743431909018617
165120082.14890996,0.000005055049660838186,,,193924714.71427953,0.00002638245497068636
168088944.32588834,0.000008534770322419684,,,207649216.70213008,0.00002638245497068636
168088944.32588834,0.000006720803327546882,,,222345033.53807628,0.00002638245497068636
176092415.02916926,0.000005047230515041235,,,238080907.4274776,0.00002638245497068636
179984988.90140983,0.000007917766830595285,,,254930445.62106028,0.00002638245497068636
188901001.54612562,0.000006491091704391166,,,272972464.7254578,0.00002638245497068636
187711840.48064163,0.000004350539158835924,,,292291359.3814229,0.00002638245497068636
200343222.25343597,0.000003927081782216175,,,309110411.8640926,0.00002638245497068636
201294356.4398137,0.000006909199109979607,,,326897267.59285706,0.000008713582143077324
201294356.4398137,0.000005440728527521774,,,350032545.65945923,0.000008713582143077324
213816674.8176663,0.00000425293004613214,,,374805161.031325,0.000008713582143077324
215540425.07099214,0.000006296802907300804,,,401330991.8683591,0.000008713582143077324
219402856.132168,0.000003233075963308491,,,429734117.29669356,0.000008713582143077324
229704194.93305784,0.0000051229534647436785,,,460147397.8100896,0.000008713582143077324
234360938.6449984,0.000003678569910093765,,,492713096.74771035,0.000008713582143077324
235749066.31907213,0.0000028805228482534717,,,527583545.7552912,0.000008713582143077324
245597118.63471764,0.000005704790041685194,,,564086340.3228179,0.000008535171611756868
250220268.75694388,0.0000044923027154460424,,,563168698.7943617,0.000025536693393411835
251780577.8030189,0.0000035375155859798207,,,563168698.7943617,0.000020109163744236398
251780577.8030189,0.0000028160772113098155,,,563168698.7943617,0.000015835192922699937
262978596.53390652,0.000005704790041685194,,,563168698.7943617,0.000012469605304745453
267928937.7165188,0.0000044923027154460424,,,563168698.7943617,0.000006088926787062055
269599673.4538811,0.0000035375155859798207,,,563168698.7943617,0.000004794795626096505
269599673.4538811,0.000002810521742843758,,,563168698.7943617,0.000003775717117322565
281590201.95103693,0.0000054947140997796715,,,563168698.7943617,0.0000029732319918813033
288423618.24131334,0.000004368576814133334,,,563168698.7943617,0.000002341305824260246
289428563.6419316,0.000003314341655426795,,,563168698.7943617,0.0000016811028618810007
288119617.2537673,0.0000024686116745431317,,,604902687.870035,0.000008713582143077324
302980356.8354191,0.000002106686454987389,,,647713054.5340302,0.000008713582143077324
307194824.188203,0.000004673273381124393,,,693553210.1717813,0.000008713582143077324
309912094.5982462,0.0000036945857702636365,,,742637579.9784237,0.000008713582143077324
309110411.8640926,0.0000028637442619851905,,,795195764.5176319,0.000008713582143077324
323360335.02837175,0.0000022043453738214665,,,851473613.71768,0.000008713582143077324
328307149.9602808,0.0000016846177549536826,,,911734376.876667,0.000008713582143077324
330986872.8832288,0.00000410222062537387,,,973230243.4425783,0.000008704123508212872
330986872.8832288,0.0000032303409450774607,,,,
345707615.9785283,0.000002498959584116686,,,,
350032545.65945923,0.0000017653064279910321,,,,
354411581.80458266,0.00000402995814535584,,,,
354411581.80458266,0.0000031734370217362316,,,,
370174146.042543,0.000002498959584116686,,,,
374805161.031325,0.0000017653064279910321,,,,
379494111.72430354,0.00000402995814535584,,,,
379494111.72430354,0.0000031734370217362316,,,,
398688973.936381,0.000002606375697656899,,,,
401330991.8683591,0.00000187872564378696,,,,
406351790.48078334,0.0000037386206923655733,,,,
408462283.3048058,0.0000028883547751372106,,,,
406351790.48078334,0.0000014420117934856,,,,
418622300.7283304,0.0000012042583780637918,,,,
430937926.06484497,0.000002151130374298094,,,,
435110249.4757445,0.000003020575299608241,,,,
438566389.9348817,0.000001501399233818021,,,,
435754728.862886,8.813866233442591e-7,,,,
449311949.08022964,0.0000011350150632852075,,,,
458244376.37553185,6.607812061292988e-7,,,,
461436402.91773707,0.0000021983681746411963,,,,
463016758.27756166,0.0000015384144970448776,,,,
465582318.3933179,4.876808306512722e-7,,,,
468809268.5610708,0.0000011683686250995426,,,,
468809268.5610708,9.200453494036354e-7,,,,
471732642.2200255,3.461727930612618e-7,,,,
471732642.2200255,2.7259775853613486e-7,,,,
471732642.2200255,2.1466024900973198e-7,,,,
471732642.2200255,1.6903668890150478e-7,,,,
471146512.7610515,1.2336512151503305e-7,,,,
474674245.2829661,6.936991966261645e-7,,,,
474674245.2829661,1.0829046466118814e-7,,,,
