#rmin_arcs rmax_arcs kT kT_min kT_max
0 30 0.925353 0.917634 0.932889
30 60 0.977821 0.963298 0.991752
60 120 1.89734 1.77297 2.01477
120 240 1.89734 1.77297 2.01477
240 390 1.03895 1.0262 1.05137
390 540 1.03408 1.00629 1.0607
540 690 0.994580 0.953654 1.03346
690 840 0.900958 0.832636 0.964822
