#rmin_arcs rmax_arcs kT kT_min kT_max
0 30 1.01238 0.961406 1.06318
30 100 0.762153 0.707499 0.816798
100 200 0.730208 0.683507 0.777355
200 350 0.651486 0.547993 0.721923
