#rmin_arcs rmax_arcs kT kT_min kT_max
0 50 0.990275 0.97147 1.00809
50 145 1.64361 1.55376 1.71602
145 230 1.58422 1.42874 1.71641
230 320 1.34718 1.28025 1.5028
320 435 1.34874 1.2963 1.37985
435 550 1.34874 1.2963 1.37985
550 750 1.11952 1.07836 1.16646
750 950 1.11952 1.07836 1.16646
