#rmin_arcs rmax_arcs kT kT_min kT_max
0 30 0.725783 0.719654 0.731924
30 60 0.653239 0.645863 0.660662
60 90 0.716075 0.706615 0.725545
90 120 0.773652 0.765465 0.781831
120 150 0.843124 0.835341 0.850946
150 195 1.00723 0.998764 1.01563
195 260 1.06405 1.05454 1.07355
260 340 1.30540 1.28547 1.32525
340 440 1.31478 1.2943 1.33531
440 545 1.01174 0.989703 1.03395
545 675 0.846052 0.835899 0.855563
675 850 0.846052 0.835899 0.855563
