#rmin_arcs rmax_arcs kT kT_min kT_max
0 10 1.0406 1.02797 1.0633
10 15 0.861644 0.802862 0.912927
15 30 0.792739 0.753759 0.831039
30 50 0.804732 0.772729 0.836627
50 85 0.730341 0.698198 0.762986
