#rmin_arcs rmax_arcs kT kT_min kT_max
0 30 0.572098 0.470593 0.640484
30 85 0.933329 0.894379 0.96991
85 180 0.784933 0.762253 0.807619
180 350 0.779660 0.756616 0.80269
350 550 0.773579 0.691241 0.856685
550 900 0.807540 0.766918 0.849557
