#rmin_arcs rmax_arcs kT kT_min kT_max
0 29.58 0.892555 0.861023 0.921805
29.58 98.6 1.04394 1.00027 1.08631
98.6 177.48 1.05718 1.00914 1.10222
177.48 256.36 1.16130 1.0711 1.28214
256.36 350.03 1.17050 1.11794 1.21796
