#rmin_arcs rmax_arcs kT kT_min kT_max
0 25 0.733326 0.712938 0.753697
25 70 0.746790 0.719528 0.773965
70 125 0.769214 0.744851 0.793786
125 220 0.772668 0.711273 0.837727
220 310 0.781171 0.745466 0.820113
310 430 0.708783 0.65146 0.775296
430 580 0.758314 0.706695 0.818164
580 760 0.184232 0.180299 0.187914
