#rmin_arcs rmax_arcs kT kT_min kT_max
0 1.479 0.311201 0.283379 0.336418
1.479 34.51 0.311201 0.283379 0.336418
34.51 56.202 0.311201 0.283379 0.336418
56.202 69.02 0.642874 0.589318 0.719228
69.02 79.866 0.724786 0.687129 0.760192
79.866 93.67 0.976168 0.952337 0.997567
93.67 114.376 1.24231 1.22299 1.27266
114.376 170.578 0.937198 0.905532 0.964456
170.578 382.568 0.781502 0.744813 0.815837
