#rmin_arcs rmax_arcs kT kT_min kT_max
0 30 0.822821 0.805755 0.839927
30 60 0.906384 0.875375 0.933359
60 100 0.979631 0.949962 1.00891
100 175 1.00237 0.981483 1.01909
175 260 1.14286 1.10088 1.17867
260 360 1.23257 1.20446 1.26386
360 550 1.08711 1.07683 1.09895
550 850 0.977369 0.969168 0.9829
