#rmin_arcs rmax_arcs kT kT_min kT_max
0 30 0.879394 0.873341 0.885415
30 60 0.851276 0.848668 0.853882
60 90 0.931663 0.928343 0.934969
90 120 1.07692 1.07364 1.08108
120 150 1.12586 1.11577 1.13582
150 180 1.20899 1.202 1.21593
180 240 1.29596 1.29151 1.30035
240 300 1.41271 1.39631 1.42878
300 360 1.31864 1.31298 1.32421
360 420 1.30013 1.29028 1.3109
420 540 1.34367 1.33732 1.35036
540 660 1.33261 1.31431 1.35116
660 850 1.18353 1.17696 1.19001
