#rmin_arcs rmax_arcs kT kT_min kT_max
0 30 0.675067 0.653759 0.691657
30 60 0.595624 0.552304 0.637483
60 90 0.498560 0.433692 0.573703
90 150 0.470551 0.413757 0.517168
150 250 0.470551 0.413757 0.517168
250 400 0.653990 0.588254 0.710848
