#rmin_arcs rmax_arcs kT kT_min kT_max
0 35 0.632099 0.625934 0.638267
35 65 0.736049 0.714127 0.75729
65 170 1.59117 1.46885 1.69721
170 270 1.61858 1.43568 1.83872
270 340 1.36920 1.30486 1.56044
340 450 1.38094 1.32824 1.58722
450 550 1.28953 1.23771 1.33515
