#rmin_arcs rmax_arcs kT kT_min kT_max
0 30 0.952440 0.8968 1.01376
30 90 0.814081 0.790577 0.837595
90 305 0.817565 0.785017 0.85009
305 515 0.950024 0.856169 1.02464
515 780 0.950024 0.856169 1.02464
