#rmin_arcs rmax_arcs kT kT_min kT_max
2 5 0.626249 0.590395 0.665469
5 7.5 0.589366 0.543158 0.639091
7.5 12.5 0.622925 0.584047 0.664153
12.5 20 0.644362 0.611082 0.677504
20 35 0.788562 0.759012 0.817569
35 65 1.28476 1.2077 1.35349
65 170 1.57611 1.52707 1.62099
170 347.5 1.57611 1.52707 1.62099
