#rmin_arcs rmax_arcs kT kT_min kT_max
0 54.23 1.04348 1.01999 1.06686
54.23 150.858 1.77623 1.67632 2.01913
150.858 237.626 1.70353 1.4908 1.89777
237.626 316.506 1.69568 1.53932 1.79508
316.506 406.232 1.49394 1.30238 1.82706
406.232 521.594 1.32689 1.29471 1.35769
