#rmin_arcs rmax_arcs kT kT_min kT_max
0 14.79 0.780120 0.759726 0.800638
14.79 29.58 0.775581 0.750061 0.801175
29.58 49.3 0.561346 0.532005 0.58886
49.3 71.485 0.762735 0.72946 0.791445
71.485 96.135 0.781646 0.752123 0.816552
96.135 125.715 0.885669 0.82714 0.913797
125.715 165.155 1.03806 1.01339 1.06407
165.155 244.035 1.08943 1.0768 1.12813
244.035 357.425 1.34788 1.31816 1.37883
357.425 527.51 0.996750 0.979556 1.01234
