#rmin_arcs rmax_arcs kT kT_min kT_max
0 35 0.841750 0.830605 0.852889
35 155 1.14251 1.10628 1.17693
155 345 1.25328 1.21433 1.28971
345 480 1.02287 0.962356 1.0817
480 595 1.01925 0.995162 1.0425
595 840 1.01925 0.995162 1.0425
