#rmin_kpc rmax_kpc S Smin Smax
0 15.7564 43.1253 40.3088 45.9296
15.7564 45.6937 157.558 147.055 166.739
45.6937 72.4797 192.933 173.263 209.89
72.4797 100.841 210.808 197.016 236.761
100.841 137.081 260.839 246.154 273.045
137.081 173.321 301.826 284.764 316.034
173.321 236.347 306.464 287.613 326.301
236.347 299.373 371.712 346.955 397.578
