#rmin_kpc rmax_kpc S Smin Smax
0 4.6542 9.72529 9.42136 10.0289
4.6542 10.0841 29.6558 27.7765 31.532
10.0841 19.3925 101.208 80.3527 112.516
19.3925 28.7009 143.983 113.743 186.353
28.7009 39.5607 214.102 190.005 263.354
39.5607 48.8691 188.333 175.716 215.708
48.8691 61.2803 185.262 171.825 197.071
61.2803 74.4672 282.094 245.849 318.316
74.4672 90.7569 169.436 163.581 175.239
