#rmin_kpc rmax_kpc S Smin Smax
0 11.3447 28.6522 23.0889 32.7555
11.3447 32.1432 82.7631 77.7926 87.5899
32.1432 68.0679 104.208 98.7187 109.698
68.0679 132.354 148.075 140.949 155.199
132.354 207.985 290.08 255.784 324.635
207.985 340.34 331.478 308.536 354.839
