#rmin_kpc rmax_kpc S Smin Smax
0 4.24212 12.1358 11.6914 12.58
4.24212 11.878 30.7851 29.5949 31.9719
11.878 21.2106 49.6548 47.9799 51.3423
21.2106 37.3307 90.7188 83.1289 98.7184
37.3307 52.6024 92.2998 87.9044 97.0635
52.6024 72.9646 140.862 129.02 154.47
72.9646 98.4173 173.897 161.488 188.118
98.4173 128.961 26.1662 24.5626 27.7577
