#rmin_kpc rmax_kpc S Smin Smax
0 5.52687 12.6675 12.5688 12.7658
5.52687 11.0537 14.0657 13.9397 14.1917
11.0537 16.5806 20.975 20.6842 21.2657
16.5806 22.1075 32.6234 31.9459 33.3053
22.1075 27.6344 46.2093 43.5282 48.8896
27.6344 33.1612 52.5055 52.1864 52.8225
33.1612 44.215 72.7102 72.4605 72.9565
44.215 55.2687 97.8047 96.6122 98.9755
55.2687 66.3224 99.6747 99.1025 100.242
66.3224 77.3762 97.1149 96.1933 98.0923
77.3762 99.4837 116.901 116.223 117.604
99.4837 121.591 157.872 155.369 160.401
121.591 156.595 123.631 122.945 124.308
