#rmin_kpc rmax_kpc S Smin Smax
0 10.6174 29.8113 27.8146 31.9648
10.6174 31.8523 47.0549 43.548 50.562
31.8523 107.944 160.427 151.472 169.379
107.944 182.266 613.235 199.947 1024.89
182.266 276.053 456.875 384.319 524.067
