#rmin_kpc rmax_kpc S Smin Smax
0 9.16299 26.1889 24.7277 27.646
9.16299 30.5433 64.6682 59.7273 69.6083
30.5433 61.0866 102.669 95.6687 109.728
61.0866 106.902 185.159 153.867 207.848
