#rmin_kpc rmax_kpc S Smin Smax
0.443704 10.3531 19.6031 17.1472 21.3927
10.3531 16.8608 32.6309 25.208 37.7827
16.8608 20.7062 43.5701 39.0825 48.8074
20.7062 23.96 42.9965 40.0496 45.1115
23.96 28.1013 58.5318 55.7652 59.8183
28.1013 34.3131 85.0375 82.0933 87.1426
34.3131 51.1739 139.448 132.101 143.512
51.1739 114.772 243.978 228.653 254.705
