#rmin_kpc rmax_kpc S Smin Smax
0 11.0537 25.4615 23.1402 27.7823
11.0537 22.1075 68.0134 61.9741 74.0459
22.1075 44.215 205.143 189.689 219.949
44.215 88.4299 261.734 242.943 279.655
88.4299 143.699 167.412 162.727 172.074
143.699 198.967 238.282 228.705 247.681
198.967 254.236 222.228 209.468 234.665
254.236 309.505 259.318 234.792 282.828
