#rmin_kpc rmax_kpc S Smin Smax
0 13.0657 21.4628 20.93 21.9956
13.0657 57.8626 161.953 156.191 167.487
57.8626 128.791 330.335 317.835 342.296
128.791 179.187 417.672 385.921 448.891
179.187 222.118 365.602 344.146 386.939
222.118 313.578 571.445 537.907 604.797
