#rmin_kpc rmax_kpc S Smin Smax
0 7.85397 17.496 17.0321 17.9606
7.85397 15.7079 40.4552 38.9 41.8525
15.7079 26.1799 66.4229 64.0692 68.754
26.1799 45.8148 106.763 103.933 109.26
45.8148 68.0677 153.754 147.643 159.107
68.0677 94.2476 196.001 190.365 202.046
94.2476 143.989 234.159 229.13 239.344
143.989 222.529 246.977 240.648 253.118
