#rmin_kpc rmax_kpc S Smin Smax
0 6.39954 14.3788 11.5185 17.2249
6.39954 12.7991 27.1728 22.0415 32.2788
12.7991 19.1986 30.8274 25.841 36.3378
19.1986 31.9977 46.9138 39.5146 53.5687
31.9977 53.3295 74.0643 62.4364 84.511
53.3295 85.3272 164.786 140.747 187.342
