9	0.88	2.33	1
18	0.98	2.78	1
31	0.19	1.94	1
42	0.89	2.37	1
58	0.41	0.65	0
66	0.4	0.87	0
72	1.02	2.97	1
103	0.74	1.74	1
117	0.37	0.55	0
158	1.25	4.18	1
185	0.44	0.73	0
262	0.56	1.09	0
276	0.71	1.63	0
278	1.36	4.83	1
338	1.28	4.36	1
363	0.72	1.67	1
393	0.95	2.65	1
402	0.59	1.20	1
421	0.29	0.36	0
473	1.00	2.88	1
